Symbol,Open,High,Low,LTP,Chng,% Chng,Volume (lacs),Turnover (crs.),52w H,52w L,365 d % chng,30 d % chng
SHREECEM,"26,450.00","26,539.90","25,812.00","25,900.00",-770.5,-2.89,0.3,76.94,"32,048.00","22,531.00",9.29,-6.76
SUNPHARMA,775,798.9,762,767.25,-15.65,-2,54.33,424.05,851,502.3,51.57,-5.69
TATACONSUM,800.2,805,763.15,769.9,-37.9,-4.69,26.17,203.32,889,505.05,49.55,-4.82
TATAMOTORS,486,486.75,458,459.4,-33.35,-6.77,517.88,"2,430.36",536.7,156.7,167.95,-9.68
TATASTEEL,"1,157.90","1,159.50","1,106.25","1,110.25",-63.4,-5.4,106.46,"1,200.79","1,534.50",539.5,105.13,-17.37
TCS,"3,425.00","3,490.00","3,411.90","3,439.20",-6.7,-0.19,19.41,670.58,"3,989.90","2,624.45",27.32,-1.25
TECHM,"1,544.00","1,550.00","1,510.15","1,519.00",-40.35,-2.59,15.22,232.97,"1,630.00",846.7,76.17,-2.83
TITAN,"2,377.80","2,385.10","2,285.05","2,293.00",-104.8,-4.37,12.89,298.54,"2,677.90","1,300.35",75.45,-6.59
ULTRACEMCO,"7,550.00","7,599.00","7,370.10","7,398.45",-210.35,-2.76,2.66,198.32,"8,269.00","4,770.00",53.5,1.78
UPL,726,726,701,703.5,-23.8,-3.27,24.82,176.35,864.7,414.15,68.06,-1.37
WIPRO,632,634.4,619.65,621.3,-15.4,-2.42,41.39,259.37,739.85,346.25,77.51,-7.01
