word,Meaning
தொகுதி,block
விளக்கப்படம்,chart
தொப்பி,hat
விற்க,sell
வெற்றி,success
நிறுவனம்,company
கழித்தால்,subtract
நிகழ்வு,event
குறிப்பாக,particular
ஒப்பந்தம்,deal
து,swim
கால,term
எதிர்,opposite
மனைவி,wife
காலணி,shoe
தோள்பட்டை,shoulder
பரவல்,spread
ஏற்பாடு,arrange
முகாம்,camp
கண்டுபிடித்தல்,invent
பருத்தி,cotton
பிறந்த,born
தீர்மானிக்க,determine
பைண்டு அளவு,quart
ஒன்பது,nine
டிரக்,truck
சத்தம்,noise
நிலை,level
வாய்ப்பு,chance
சேகரிக்க,gather
கடையை,shop
நீட்டிக்க,stretch
தூக்கி,throw
பிரகாசி,shine
சொத்து,property
பத்தியில்,column
மூலக்கூறின்,molecule
தேர்ந்தெடு,select
தவறு,wrong
சாம்பல்,gray
மீண்டும்,repeat
தேவைப்படுகிறது,require
பரந்த,broad
தயார்,prepare
"உப்பு,",salt
மூக்கு,nose
பன்மை,plural
கோபத்தை,anger
கூற்று,claim
கண்டத்தின்,continent
